sku,product_type,name,out_of_stock_qty,use_config_min_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,associated_skus
5020650,simple,CANTONEIRA 2 x 1/4 (50.80 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020663,simple,CANTONEIRA 2.1/2 x 1/4 (63.50 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020676,simple,CANTONEIRA 3 x 1/4 (76.20 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020699,simple,CANTONEIRA 4 x 1/4 (101.60 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020750,simple,CANTONEIRA 2 x 5/16 (50.80 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020763,simple,CANTONEIRA 2.1/2 x 5/16 (63.50 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020776,simple,CANTONEIRA 3 x 5/16 (76.20 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020799,simple,CANTONEIRA 4 x 5/16 (101.60 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020963,simple,CANTONEIRA 2.1/2 x 3/8 (63.50 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020976,simple,CANTONEIRA 3 x 3/8 (76.20 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020999,simple,CANTONEIRA 4 x 3/8 (101.60 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5021276,simple,CANTONEIRA 3 x 1/2 (76.20 x 12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5021299,simple,CANTONEIRA 4 x 1/2 (101.6 x 12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5021599,simple,CANTONEIRA 4 x 5/8 (101.60 x 15.88mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
502,grouped,Cantoneira ,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"5020215=0.000000,5020219=0.000000,5020312=0.000000,5020315=0.000000,5020319=0.000000,5020322=0.000000,5020325=0.000000,5020331=0.000000,5020338=0.000000,5020344=0.000000,5020350=0.000000,5020425=0.000000,5020431=0.000000,5020438=0.000000,5020444=0.000000,5020450=0.000000,5020463=0.000000,5020476=0.000000,5020625=0.000000,5020631=0.000000,5020638=0.000000,5020644=0.000000,5020650=0.000000,5020663=0.000000,5020676=0.000000,5020699=0.000000,5020750=0.000000,5020763=0.000000,5020776=0.000000,5020799=0.000000,5020963=0.000000,5020976=0.000000,5020999=0.000000,5021276=0.000000,5021299=0.000000,5021599=0.000000"
5031000,simple,BARRA QUADRADA 3/8 (09.54mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5031250,simple,BARRA QUADRADA 1/2 (12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5031600,simple,BARRA QUADRADA 5/8 (15.88mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5032000,simple,BARRA QUADRADA 3/4 (19.05mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5032500,simple,BARRA QUADRADA 1 (25.40mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
503,grouped,Barra Quadrada A36,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"5031000=0.000000,5031250=0.000000,5031600=0.000000,5032000=0.000000,5032500=0.000000"
5040315,simple,PERFIL T 5/8 x 1/8 (15.88 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040319,simple,PERFIL T 3/4 x 1/8 (19.05 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040322,simple,PERFIL T 7/8 x 1/8 (22.23 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040325,simple,PERFIL T 1 x 1/8 (25.40 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040338,simple,PERFIL T 1.1/2 x 1/8 (38.10 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040431,simple,PERFIL T 1.1/4 x 3/16 (31.75 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040438,simple,PERFIL T 1.1/2 x 3/16 (38.10 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040450,simple,PERFIL T 2 x 3/16 (25.4 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5040650,simple,PERFIL T 2 x 1/4 (25.4 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
504,grouped,Perfil T ,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"5040315=0.000000,5040319=0.000000,5040322=0.000000,5040325=0.000000,5040338=0.000000,5040431=0.000000,5040438=0.000000,5040450=0.000000,5040650=0.000000"
